대학교,평균등록금,외국인 학생 수,정원내 신입생 경쟁률,재학생 1인당 장학금
강서대학교,7924720.2,666,10.3,3356599.3
건국대학교,8748292.8,2228,21.7,3605901.7
경희대학교,8441574.6,3535,16.2,3487989.5
고려대학교,8814464.1,4471,14.7,3663136.5
광운대학교,8330757.8,1009,14.3,3508178.2
국민대학교,8376923.6,1533,11.6,4033820.7
덕성여자대학교,7593288.1,571,15.4,3308009.1
동국대학교,8458007.4,2691,18.6,3741313.7
동덕여자대학교,7882190.2,56,15.8,3590625.8
삼육대학교,8278362.1,361,13.7,4309590
상명대학교,8354928.9,239,12.5,4008677.5
서강대학교,8439438.5,2021,20,3291122.7
서경대학교,8422266.3,1077,18.8,3695549.6
서울과학기술대학교,5494399.3,1129,13.5,3212119.1
서울기독대학교,7913735.2,838,3.1,2475775.1
서울대학교,6058797.7,1383,7.1,3499102.1
서울시립대학교,2529251.3,725,15.4,2385871
서울여자대학교,7973673.4,1131,13.2,3722437.7
서울한영대학교,7082277.7,308,7.6,4159638.9
성공회대학교,7450011.1,275,6.1,4554540.8
성균관대학교,8905163.2,3911,22.5,3551570.6
성신여자대학교,8404243.1,890,12.4,3904314.4
세종대학교,8392237.8,2844,16.3,3353520.3
숙명여자대학교,8593005.7,520,12.1,3758180.1
숭실대학교,8408228,2479,15.4,3381844.6
연세대학교,9437676.2,4740,11.5,3795230.6
이화여자대학교,9025874.9,2089,9.7,3754247.1
장로회신학대학교,7202000,5,3.4,4780224.1
중앙대학교,8576801.1,4935,20.6,3681840.1
총신대학교,7336119.7,7,5.3,4752585.9
추계예술대학교,9600692,45,11,3624006.3
한국성서대학교,7490682.2,113,5.4,4770689.4
한국외국어대학교,7594228.1,2949,14.2,3042767
한국체육대학교,3860074.7,11,5.8,2780981.5
한성대학교,7793161,568,10.3,3908650.2
한양대학교,9016311.6,3988,21.9,3792281.1
홍익대학교,8885819.9,1480,13.9,4377262.2
인천가톨릭대학교,8590385.4,7,7,4238774.4
인천대학교,4651923.7,430,11.2,3399046.1
인하대학교,8208392.2,1954,13.5,3706824.7
가천대학교,8812617.8,4996,22.8,3715314.3
가톨릭대학교,7731403.8,1674,16.5,3617246.5
강남대학교,7968388.6,485,8.4,3645505.2
경기대학교,7768742.8,1106,14.5,3912984.5
단국대학교,8586928.9,1103,12.4,3651471.7
대진대학교,8009719.7,1104,6.2,4008325.3
루터대학교,6334500,,3.2,5387126.3
명지대학교,8543160.8,2428,11.8,3735609.4
서울신학대학교,7636306.1,407,5.4,5660500.1
서울장신대학교,7728884.6,42,3.2,6028971.5
성결대학교,7621682.4,388,8.4,3661061.6
수원가톨릭대학교,5097000,1,0.4,7940884.4
수원대학교,7941876.5,73,13.9,3983743.5
신한대학교,9152448.4,1137,12,4430010.2
아신대학교,6900000,2,0.7,5802986
아주대학교,8794887.9,2411,17.5,3689585.3
안양대학교,8129936,16,11.1,4056490.2
용인대학교,8160711.1,138,10.2,4185718.5
중앙승가대학교,1820000,4,0.1,4264273.3
차의과학대학교,7621965.9,29,7,4669786.5
칼빈대학교,8113055.5,1940,3.2,1821962.3
평택대학교,7952521.5,149,8.8,4225281.5
한경국립대학교,4020513.3,245,7.1,3228257.5
한국공학대학교,9450433.8,529,8.6,3764097.5
한국항공대학교,8935459.4,194,13.5,3891982.4
한세대학교,8598513.2,22,11.6,4313202.9
한신대학교,7641273.7,237,6.9,3660014.6
한양대학교,9004779.6,2503,14.9,4313001.1
협성대학교,7896848.6,98,8.2,3683617.1
화성의과학대학교,7704138.4,1,5.6,1067720.2
